Package,LibPath,Version,Priority,Built
haven,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.1
here,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.0
highr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6,NA,3.4.0
hms,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.3
htmltools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.6,NA,3.4.0
htmlwidgets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9,NA,3.4.1
httpuv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.5,NA,3.4.1
httr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.1
hunspell,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.9,NA,3.4.3
igraph,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.2,NA,3.4.1
influence.ME,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-9,NA,3.4.0
ini,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.2
ipred,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-6,NA,3.4.0
irlba,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3.1,NA,3.4.2
ISLR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2,NA,3.4.2
iterators,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.8,NA,3.4.0
janeaustenr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.5,NA,3.4.0
jsonlite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
kableExtra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.1,NA,3.4.2
kernlab,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-25,NA,3.4.0
KernSmooth,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.23-15,recommended,3.4.2
klaR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6-12,NA,3.4.0
knitr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.17,NA,3.4.1
labeling,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3,NA,3.4.0
lattice,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.20-35,recommended,3.4.2
lava,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5.1,NA,3.4.2
lazyeval,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.1,NA,3.4.2
leaps,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.0,NA,3.4.0
lme4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-14,NA,3.4.2
lmtest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-35,NA,3.4.0
lubridate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.1,NA,3.4.2
magick,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.2
magrittr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
mailR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.1,NA,3.4.0
markdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8,NA,3.4.0
MASS,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-47,recommended,3.4.2
Matrix,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-12,recommended,3.4.2
MatrixModels,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-1,NA,3.4.0
memoise,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
methods,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
mgcv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-22,recommended,3.4.2
mime,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5,NA,3.4.0
miniUI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.2
minpack.lm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-1,NA,3.4.0
minqa,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.4,NA,3.4.0
MKmisc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.993,NA,3.4.0
mlbench,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1-1,NA,3.4.0
mnormt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5-5,NA,3.4.0
ModelMetrics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
modelr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.1
mongolite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.3
MPV,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.38,NA,3.4.0
munsell,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.0
nlme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1-131,recommended,3.4.2
nloptr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.4,NA,3.4.0
NLP,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-11,NA,3.4.1
nlstools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-2,NA,3.4.0
nnet,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-12,recommended,3.4.0
numDeriv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2016.8-1,NA,3.4.0
openssl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.9,NA,3.4.2
orcutt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2,NA,3.4.2
ordinal,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2015.6-28,NA,3.4.0
packrat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.8-1,NA,3.4.2
parallel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
pbkrtest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-7,NA,3.4.0
pdftools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.2
pkgconfig,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.0
PKI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-5.1,NA,3.4.1
plogr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-1,NA,3.4.0
plyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8.4,NA,3.4.0
prettyunits,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.2,NA,3.4.0
prodlim,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6.1,NA,3.4.0
progress,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.2,NA,3.4.0
pscl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5.2,NA,3.4.2
psych,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.8,NA,3.4.2
purrr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.4,NA,3.4.2
qpcR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4-0,NA,3.4.0
quantreg,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,5.34,NA,3.4.2
R.methodsS3,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.1,NA,3.4.0
R.oo,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.21.0,NA,3.4.0
R.utils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.6.0,NA,3.4.2
R6,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.2,NA,3.4.0
randomForest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.6-12,NA,3.4.0
rappdirs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.1,NA,3.4.0
raster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.6-7,NA,3.4.2
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-2,NA,3.4.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.12.14,NA,3.4.3
RcppEigen,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.3.3.1,NA,3.4.3
RcppRoll,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.2,NA,3.4.0
RCurl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.95-4.8,NA,3.4.0
readr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.0
readxl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
recipes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.3
REEMtree,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.90.3,NA,3.4.0
rematch,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.0
rematch2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.1
reprex,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.0
repurrrsive,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.0,NA,3.4.1
reshape,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8.7,NA,3.4.1
reshape2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.2,NA,3.4.0
rgl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.98.1,NA,3.4.0
RGoogleAnalytics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.0
ridge,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2,NA,3.4.0
rJava,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-9,NA,3.4.2
rjson,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.15,NA,3.4.0
RJSONIO,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-0,NA,3.4.0
rlang,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.4,NA,3.4.2
rmarkdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8,NA,3.4.2
RMongo,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.25,NA,3.4.0
RMySQL,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10.13,NA,3.4.1
robustbase,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.92-8,NA,3.4.2
rpart,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.1-11,recommended,3.4.2
rpart.plot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.2,NA,3.4.0
rprojroot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2,NA,3.4.0
rsconnect,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8.5,NA,3.4.1
RSelenium,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.1,NA,3.4.0
rstudioapi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.1
rvest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.2,NA,3.4.0
scales,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.0,NA,3.4.1
selectr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-1,NA,3.4.0
semver,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
sendmailR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-1,NA,3.4.0
servr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8,NA,3.4.2
sfsmisc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-1,NA,3.4.0
shiny,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.5,NA,3.4.2
slam,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-40,NA,3.4.0
SnowballC,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.1,NA,3.4.0
sourcetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.0
sp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-5,NA,3.4.1
SparseM,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.77,NA,3.4.0
spatial,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-11,recommended,3.4.2
splines,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
stargazer,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,5.2,NA,3.4.0
stats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
stats4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
stringi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.6,NA,3.4.2
stringr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
styler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.3
subprocess,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8.2,NA,3.4.2
survey,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.32-1,NA,3.4.1
survival,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.41-3,recommended,3.4.2
tau,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-20,NA,3.4.2
tcltk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
textcat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-5,NA,3.4.0
tibble,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.4,NA,3.4.1
tidyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.2,NA,3.4.2
tidyselect,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.3,NA,3.4.2
tidytext,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.5,NA,3.4.2
tidyverse,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.1,NA,3.4.2
timeDate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3042.101,NA,3.4.2
tm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7-3,NA,3.4.3
tokenizers,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.4,NA,3.4.0
tools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
tree,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-37,NA,3.4.0
tweenr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.5,NA,3.4.0
ucminf,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-4,NA,3.4.0
udunits2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.13,NA,3.4.0
units,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-6,NA,3.4.1
usdm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-18,NA,3.4.1
usethis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
utils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
V8,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
vcd,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4-3,NA,3.4.0
viridis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.0
viridisLite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
wdman,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.2,NA,3.4.0
whisker,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-2,NA,3.4.0
widyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.0,NA,3.4.1
withr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.0,NA,3.4.2
XML,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.98-1.9,NA,3.4.1
xml2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.0
xray,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.2
xtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-2,NA,3.4.0
yaml,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.14,NA,3.4.0
zoo,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-0,NA,3.4.0
